scenario_id,event_type,start_idx,end_idx,start_time,end_time,duration_seconds
1,dlq_burst,3860,4387,2026-03-13T01:04:20+00:00,2026-03-13T01:13:06+00:00,527
2,consumer_slowdown,6230,7064,2026-03-13T01:43:50+00:00,2026-03-13T01:57:43+00:00,834
3,latency_spike,8674,9473,2026-03-13T02:24:34+00:00,2026-03-13T02:37:52+00:00,799
4,backlog,12762,13398,2026-03-13T03:32:42+00:00,2026-03-13T03:43:17+00:00,636
5,dlq_burst,16087,16917,2026-03-13T04:28:07+00:00,2026-03-13T04:41:56+00:00,830
6,consumer_slowdown,19995,20785,2026-03-13T05:33:15+00:00,2026-03-13T05:46:24+00:00,790
7,latency_spike,24109,24998,2026-03-13T06:41:49+00:00,2026-03-13T06:56:37+00:00,889
8,backlog,27531,28079,2026-03-13T07:38:51+00:00,2026-03-13T07:47:58+00:00,548
9,dlq_burst,31281,31987,2026-03-13T08:41:21+00:00,2026-03-13T08:53:06+00:00,706
10,consumer_slowdown,33690,34609,2026-03-13T09:21:30+00:00,2026-03-13T09:36:48+00:00,919
11,latency_spike,36679,37291,2026-03-13T10:11:19+00:00,2026-03-13T10:21:30+00:00,612
12,backlog,40375,41170,2026-03-13T11:12:55+00:00,2026-03-13T11:26:09+00:00,795
13,dlq_burst,44236,45036,2026-03-13T12:17:16+00:00,2026-03-13T12:30:35+00:00,800
14,consumer_slowdown,46736,47393,2026-03-13T12:58:56+00:00,2026-03-13T13:09:52+00:00,657
15,latency_spike,49049,49945,2026-03-13T13:37:29+00:00,2026-03-13T13:52:24+00:00,896
16,backlog,52440,53021,2026-03-13T14:34:00+00:00,2026-03-13T14:43:40+00:00,581
17,dlq_burst,55908,56409,2026-03-13T15:31:48+00:00,2026-03-13T15:40:08+00:00,501
18,consumer_slowdown,59647,60535,2026-03-13T16:34:07+00:00,2026-03-13T16:48:54+00:00,888
19,latency_spike,63501,64342,2026-03-13T17:38:21+00:00,2026-03-13T17:52:21+00:00,841
20,backlog,66598,67326,2026-03-13T18:29:58+00:00,2026-03-13T18:42:05+00:00,728
21,dlq_burst,69465,70339,2026-03-13T19:17:45+00:00,2026-03-13T19:32:18+00:00,874
22,consumer_slowdown,73810,74845,2026-03-13T20:30:10+00:00,2026-03-13T20:47:24+00:00,1035
23,latency_spike,77406,78286,2026-03-13T21:30:06+00:00,2026-03-13T21:44:45+00:00,880
24,backlog,80796,81864,2026-03-13T22:26:36+00:00,2026-03-13T22:44:23+00:00,1068
25,dlq_burst,85053,85500,2026-03-13T23:37:33+00:00,2026-03-13T23:44:59+00:00,447
